Longitude,Latitude,Category
-8.75,18.950000000000006,Low
-8.75,19.05,Low
-8.75,19.15000000000001,Low
-8.75,19.250000000000004,Low
-8.75,19.35000000000001,Low
-8.75,19.450000000000006,Low
-8.75,19.55,Low
-8.75,19.65000000000001,Low
-8.75,19.750000000000004,Low
-8.75,19.85000000000001,Low
-8.75,19.950000000000006,Low
-8.75,20.05,Low
-8.75,20.15000000000001,Low
-8.75,20.250000000000004,Low
-8.75,20.35000000000001,Low
-8.75,20.450000000000006,Low
-8.75,20.55,Low
-8.75,20.65000000000001,Low
-8.75,20.750000000000004,Low
-8.75,20.85000000000001,Low
-8.75,20.950000000000006,Low
-8.75,21.05,Low
-8.75,21.15000000000001,Low
-8.75,21.250000000000004,Low
-8.75,21.35000000000001,Low
-8.75,21.450000000000006,Low
-8.75,21.55,Low
-8.75,21.65000000000001,Low
-8.75,21.750000000000004,Low
-8.75,21.85000000000001,Low
-8.75,21.950000000000006,Low
-8.75,22.05,Low
-8.75,22.15000000000001,Low
-8.75,22.250000000000004,Low
-8.75,22.35000000000001,Low
-8.75,22.450000000000006,Low
-8.75,22.55,Low
-8.75,22.65000000000001,Low
-8.75,22.750000000000004,Low
-8.75,22.85000000000001,Low
-8.75,22.950000000000006,Low
-8.75,23.05,Low
-8.75,23.15000000000001,Low
-8.75,23.250000000000004,Low
-8.75,23.35000000000001,Low
-8.75,23.450000000000006,Low
-8.75,23.55,Low
-8.75,23.65000000000001,Low
-8.75,23.750000000000004,Low
-8.75,23.85000000000001,Low
-8.75,23.950000000000006,Low
-8.75,24.05,Low
-8.75,24.15000000000001,Low
-8.75,24.250000000000004,Low
-8.75,24.35000000000001,Low
-8.75,24.450000000000006,Low
-8.75,24.55,Low
-8.75,24.65000000000001,Low
-8.75,24.750000000000004,Low
-8.75,24.85000000000001,Low
-8.75,24.950000000000006,Low
-8.75,25.05,Low
-8.75,25.15000000000001,Low
-8.75,25.250000000000004,Low
-8.75,25.35000000000001,Low
-8.75,25.450000000000006,Low
-8.75,25.55,Low
-8.75,25.65000000000001,Low
-8.75,25.750000000000004,Low
-8.75,25.85000000000001,Low
-8.75,25.950000000000006,Low
-8.75,26.05,Low
-8.75,26.15000000000001,Low
-8.75,26.250000000000004,Low
-8.75,26.35000000000001,Low
-8.75,26.450000000000006,Low
-8.75,26.55,Low
-8.75,26.65000000000001,Low
-8.75,26.750000000000004,Low
-8.75,26.85000000000001,Low
-8.75,26.950000000000006,Low
-8.75,27.05,Low
-8.75,27.15000000000001,Low
-8.75,27.250000000000004,Low
-8.75,27.35000000000001,Low
-8.75,27.450000000000006,Low
-8.75,27.55,Low
-8.75,27.65000000000001,Low
-8.75,27.750000000000004,Low
-8.75,27.85000000000001,Low
-8.75,27.950000000000006,Low
-8.75,28.05,Low
-8.75,28.15000000000001,Low
-8.75,28.250000000000004,Low
-8.75,28.35000000000001,Low
-8.75,28.450000000000006,Low
-8.75,28.55,Low
-8.75,28.65000000000001,Low
-8.75,28.750000000000004,Low
-8.75,28.85000000000001,Low
-8.75,28.950000000000006,Low
-8.75,29.05,Low
-8.75,29.15000000000001,Low
-8.75,29.250000000000004,Low
-8.75,29.35000000000001,Low
-8.75,29.450000000000006,Low
-8.75,29.55,Low
-8.75,29.65000000000001,Low
-8.75,29.750000000000004,Low
-8.75,29.85000000000001,Low
-8.75,29.950000000000006,Low
-8.75,30.05,Low
-8.75,30.15000000000001,Low
-8.75,30.250000000000004,Low
-8.75,30.35000000000001,Low
-8.75,30.450000000000006,Low
-8.75,30.55,Low
-8.75,30.65000000000001,Low
-8.75,30.750000000000004,Low
-8.75,30.85000000000001,Low
-8.75,30.950000000000006,Low
-8.75,31.05,Low
